Actor_Id,Person,Nr. of Movies,Role,Franchise Worldwide Box Office,Career Worldwide Box Office,Franchise / Career
1,Daniel Radcliffe,8,Harry Potter,"$7,653,410,403","$8,535,841,421",89.70%
2,Rupert Grint,8,Ronald Weasley,"$7,653,410,403","$7,701,875,415",99.40%
3,Emma Watson,8,Hermione Granger,"$7,653,410,403","$9,850,274,230",77.70%
4,Alan Rickman,8,Severus Snape,"$7,653,410,403","$10,702,888,615",71.50%
5,Robbie Coltrane,8,Rubeus Hagrid,"$7,653,410,403","$9,993,989,032",76.60%
6,Tom Felton,8,Draco Malfoy,"$7,653,410,403","$8,410,950,505",91.00%
7,Bonnie Wright,8,Ginny Weasley,"$7,653,410,403","$7,653,410,403",100.00%
8,Warwick Davis,8,Filius Flitwick,"$7,653,410,403","$14,965,761,701",51.10%
9,Matthew Lewis,8,Neville Longbottom,"$7,653,410,403","$7,862,668,668",97.30%
10,Devon Murray,8,Seamus Finnigan,"$7,653,410,403","$7,667,532,331",99.80%
11,Josh Herdman,8,Gregory Goyle,"$7,653,410,403","$7,738,620,415",98.90%
12,James Phelps,8,Fred Weasley,"$7,653,410,403","$7,676,287,351",99.70%
13,Oliver Phelps,8,George Weasley,"$7,653,410,403","$7,676,287,351",99.70%
14,Geraldine Somerville,8,Lily Potter,"$7,653,410,403","$7,825,113,013",97.80%
15,Maggie Smith,7,Minerva McGonagall,"$6,701,642,698","$8,932,435,935",75.00%
16,David Bradley,7,Argus Filch,"$6,701,642,698","$6,920,885,394",96.80%
17,Julie Walters,7,Molly Weasley,"$6,766,667,616","$9,766,508,899",69.30%
18,Alfie Enoch,7,Dean Thomas,"$6,701,642,698","$6,701,642,698",100.00%
19,Mark Williams,7,Arthur Weasley,"$6,688,366,909","$7,540,400,057",88.70%
20,Adrian Rawlins,7,James Potter,"$6,723,999,334","$6,812,824,463",98.70%
21,Michael Gambon,6,Albus Dumbledore,"$5,813,412,379","$8,374,516,170",69.40%
22,Jamie Waylett,6,Vincent Crabbe,"$5,385,364,437","$5,385,364,437",100.00%
23,Jason Isaacs,5,Lucius Malfoy,"$4,969,363,132","$7,666,772,315",64.80%
24,Richard Griffiths,5,Vernon Dursley,"$4,520,978,286","$6,939,724,496",65.10%
25,Fiona Shaw,5,Petunia Dursley,"$4,520,978,286","$4,958,735,633",91.20%
26,Timothy Spall,5,Peter Pettigrew,"$4,873,792,530","$8,524,014,501",57.20%
27,Harry Melling,5,Dudley Dursley,"$4,520,978,286","$4,542,592,266",99.50%
28,Chris Rankin,5,Percy Weasley,"$4,520,978,286","$4,520,978,286",100.00%
29,Afshan Azad,5,Padma Patil,"$5,023,819,671","$5,023,819,671",100.00%
30,William Melling,5,Nigel Wolpert,"$5,023,819,671","$5,042,943,522",99.60%
31,Katie Leung,5,Cho Chang,"$5,023,819,671","$5,211,323,886",96.40%
32,Ralph Fiennes,4,Lord Voldemort,"$4,094,408,602","$10,838,412,393",37.80%
33,Helena Bonham Carter,4,Bellatrix Lestrange,"$4,137,076,884","$9,814,953,901",42.20%
34,David Thewlis,4,Remus Lupin,"$3,610,391,331","$5,792,501,962",62.30%
35,Robert Hardy,4,Cornelius Fudge,"$3,490,909,874","$3,787,991,052",92.20%
36,Gary Oldman,4,Sirius Black,"$3,932,233,605","$11,017,861,513",35.70%
37,Evanna Lynch,4,Luna Lovegood,"$4,137,076,884","$4,137,091,877",100.00%
