Movie_Id,Release  Date,Title,Production  Budget,Opening  Weekend,Domestic  Box Office,Worldwide  Box Office
1,2022,Fantastic Beasts: The Secrets of Dumbledore,"$200,000,000","$42,151,256","$95,850,844","$404,560,145"
2,2020,Harry Potter Film Fest,,,,"$50,951"
3,2018,Fantastic Beasts: The Crimes of Grindelwald,"$200,000,000","$62,163,104","$159,555,901","$648,455,339"
4,2016,Fantastic Beasts and Where to Find Them,"$180,000,000","$74,403,387","$234,037,575","$811,724,385"
5,2016,The Harry Potter IMAX Marathon,,"$1,357,376","$1,729,226","$67,992,190"
6,2011,Harry Potter and the Deathly Hallows,"$250,000,000","$294,206,799","$677,324,725","$2,268,045,966"
7,2011,Harry Potter and the Deathly Hallows 2,"$125,000,000","$169,189,427","$381,193,157","$1,316,278,261"
8,2010,Harry Potter and the Deathly Hallows 1,"$125,000,000","$125,017,372","$296,131,568","$951,767,705"
9,2009,Harry Potter and the Half-Blood Prince,"$250,000,000","$77,835,727","$302,089,278","$929,411,069"
10,2007,Harry Potter and the Order of the Phoenix,"$150,000,000","$77,108,414","$292,137,260","$939,619,849"
11,2005,Harry Potter and the Goblet of Fire,"$150,000,000","$102,685,961","$290,201,752","$886,742,787"
12,2004,Harry Potter and the Prisoner of Azkaban,"$130,000,000","$93,687,367","$249,757,726","$789,592,708"
13,2002,Harry Potter and the Chamber of Secrets,"$100,000,000","$88,357,488","$262,233,381","$874,954,530"
14,2001,Harry Potter and the Sorceror's Stone,"$125,000,000","$90,294,621","$317,871,467","$965,043,494"
